poi_code	orig_postcode	orig_city	orig_street	orig_housenumber	orig_conscriptionnumber	orig_name	new_postcode	new_city	new_street	new_housenumber	new_conscriptionnumber	new_name
*	1054	Budapest	Kossuth Lajos tér	*			1055	Budapest	Kossuth Lajos tér	*		
*	1055	Budapest	Kossuth tér	*			1055	Budapest	Kossuth Lajos tér	*		
*	1055	Budapest	Szent István krt.	15			1055	Budapest	Szent István körút	15		
*	1062	Budapest	Andrássy utca	86			1062	Budapest	Andrássy út	86		
*	1062	Budapest	Westend City Center (Lechner Ödön krt. 29/a.), Váci út	1-3			1062	Budapest	Váci út	1-3		
*	1065	Budapest	Bajcsy Zsilinszky út	5			1065	Budapest	Bajcsy-Zsilinszky út	5		
*	1065	Budapest	Bajcsy-Zsilinszky Endre út	5-7			1065	Budapest	Bajcsy-Zsilinszky út	5-7		
*	1061	Budapest	Bajcsy- Zsilinszky út	5-7			1065	Budapest	Bajcsy-Zsilinszky út	5-7		
*	1066	Budapest	Nagymező utca	*			1065	Budapest	Nagymező utca	*		
hupostacso	1857	Budapest	Nyugati tér	aluljáró			1066	Budapest	Nyugati tér			
*	1066	Budapest	Teréz krt.	42-44			1066	Budapest	Teréz körút	42-44		
*	1073	Budapest	Erzsébet krt.	*			1073	Budapest	Erzsébet körút	*		
*	1075	Budapest	Károly krt.	3/b			1075	Budapest	Károly körút	3/b		
*	1071	Budapest	Király utca	35-37			1077	Budapest	Király utca	35-37		
*	1071	Budapest	István utca	*			1078	Budapest	István utca	*		
*	1084	Budapest	Népszínház utca	*			1081	Budapest	Népszínház utca	*		
*	1083	Budapest	Futó utca	*			1082	Budapest	Futó utca	*		
hupostacso	1870	Budapest	Futó utca	37-45			1082	Budapest	Futó utca	37-45		
*	1082	Budapest	Futó utca	.			1082	Budapest	Futó utca			
*	1089	Budapest	Baross utca	111			1083	Budapest	Baross utca	111		
*	1088	Budapest	Blaha Lujza tér	*			1085	Budapest	Blaha Lujza tér	*		
*	1087	Budapest	József körút	50			1085	Budapest	József körút	50		
*	1086	Budapest	Teleki tér				1086	Budapest	Teleki László tér			
*	1148	Budapest	Kerepesi út	8			1087	Budapest	Kerepesi út	8		
*	1087	Budapest	Kerepesi utca	9-11			1087	Budapest	Kerepesi út	9-11		
*	1085	Budapest	József körút	5			1088	Budapest	József körút	5		
*	1089	Budapest	Golgota tér	.			1089	Budapest	Golgota tér			
*	1089	Budapest	kálvária tér				1089	Budapest	Kálvária tér			
*	1089	Budapest	Orczy utca	*			1089	Budapest	Orczy út	*		
*	1098	Budapest	Üllői út	137			1091	Budapest	Üllői út	137		
*	1094	Budapest	Ferenc krt.	15			1094	Budapest	Ferenc körút	15		
*	1094	Budapest	Ferenc krt. 15.	15			1094	Budapest	Ferenc körút	15		
*	1092	Budapest	Mester utca	1			1095	Budapest	Mester utca	1		
*	1095	Budapest	IX, 09 Mester utca	87			1095	Budapest	Mester utca	87		
*	1097	Budapest	Soroksári út				1095	Budapest	Soroksári út			
